nome do prato;principais ingredientes;Possui glúten?;Possui lactose?
ABACAXI CARAMELADO;açucar,farinha de trigo;SIM;NÃO
ABOBORA TEMPERADA;azeite,cebolinha,sal;NÃO;NÃO
ABOBRINHA C/ PARMESÃO;sal,pimenta,alho,limão,queijo parmesão;NÃO;SIM
ABOBRINHA CREMOSA;m.branco,farinha de rosca,queijo,azeite,pimenta;SIM;SIM
ABOBRINHA GRATINADA ;abobrinha, queijo, cebola, alho;NÃO;SIM
ABOBRINHA REC. BACALHAU;bacalhau,queijo,m.branco,sal,pimenta;SIM;SIM
ABOBRINHA RECH COM CARNE;condimentos, carne moída, sal, abobrinha;NÃO;NÃO
ABOBRINHA TOMATE CEREJA;abobrinha,tomate cereja,sal,cebolinha,alho,salsa.;NÃO;NÃO
ACELGA c/ CENOURA;acelga,pimentão,cenoura,azeite;NÃO;NÃO
ACELGA C/ FRUTAS;acelga,melhão, manga, morango;NÃO;NÃO
ACELGA C/ MORANGO;azeite,morango,acelga;NÃO;NÃO
ACELGA REC.C/ FRANGO;cr. de leite,frango,maionese;NÃO;SIM
ALCATRA - MOLHO CERVEJA;Condimentos, cerveja, cenoura, cebola, molho shoyu;SIM;NÃO
ALMÔNDEGA DE SOJA;ovo, farinha de rosca e molho de tomate;SIM;SIM
ALMÔNDEGAS DE CARNE;carne moida,condimentos,ovo;SIM;NÃO
ALMÔNDEGAS DE FRANGO;frango,tomate,cebola,pimentão,tempero,f.de rosca;SIM;NÃO
ARROZ  ERVILHA PRESUNTO;ervilha fresca, presunto de frango;NÃO;NÃO
ARROZ À BRASILEIRA;milho, ervilha, azeitona;NÃO;NÃO
ARROZ À FRANCESA;presunto em cubos,ervilha,milho;NÃO;NÃO
ARROZ À GREGA ;Presunto, uva passa, vagem;NÃO;NÃO
ARROZ À PIAMONTESE;molho branco, queijo;SIM;SIM
ARROZ AMERICANO;arroz , bacon, milho, salsa, sal.;NÃO;NÃO
ARROZ BRANCO;oléo e alho;NÃO;NÃO
ARROZ C/ BROCOLIS;alho,oleo,;NÃO;NÃO
ARROZ C/ ERVILHAS;Sal, ervilhas, óleo;;
ARROZ C/ LEGUMES;oleo,cenoura.vagem, chuchu,ervilha;NÃO;NÃO
ARROZ CARIOCA;cenoura, milho,cebolinha;NÃO ;NÃO
ARROZ CHINÊS;ovo, presunto e vagem;NÃO;NÃO
ARROZ COLORIDO;pimentão amarelo, pimentão vermelho, presunto;NÃO;NÃO
ARROZ DE FORNO ;queijo,presunto,molho de tomate,carne moida;SIM;SIM
ARROZ DE LEITE;leite, creme de leite;NÃO;SIM
ARROZ DOCE;leite de coco, leite condensado;NÃO;SIM
ARROZ INTEGRAL;água e sal;NÃO;NÃO
ARROZ JARDINEIRA;legumes ,alho ,oleo;NÃO;NÃO
ARROZ PRIMAVERA;pimentão,cenoura,milho;NÃO;NÃO
ARRUMADINHO;carne de charque e vinagrete;NÃO;NÃO
AZEITONA;azeitona;NÃO;NÃO
BACALHAU À FRANCESA;m.bechamel,pão,queijo parmesão,mussarela;SIM;SIM
BACALHAU À MODA;queijo coalho empanado,molho de tomate, m. branco;SIM;SIM
BACALHAU A MODA DA CASA;azeite,pimentões,cebola,pimenta,sal,brocolis;NÃO;NÃO
BACALHAU À PORTUGUESA;azeite,ovos,cebola,tomate,batata inglesa;NÃO;NÃO
BACALHAU À REALEZA;queijo, batata, cebola, tomate,m.branco;SIM;SIM
BACALHAU AO CREAM CHEESE;cream cheese, molho branco,batata,cr.leite;SIM;SIM
BACALHAU BELLE MEUNIÉRE;champignons,cebola roxa,tomate cereja,azeite;NÃO;NÃO
BACALHAU C/ CHEDDAR;molho branco, queijo cheddar,verduras;SIM;SIM
BACALHAU CATUPIRY;creme de leite, cebola, molho branco;SIM;SIM
BACALHAU CREME CATUPIRY;m.branco, catupiry, batata, cebola, salsinha;SIM;SIM
BACALHAU CREMOSO;M.branco,queijo parmesão;SIM;SIM
BACALHAU DE FORNO;M.Bechamel,tomate, champignon,pimentão;SIM;SIM
BACALHAU DE FORNO;ovo, tomate,pimentões;NÃO;SIM
BACALHAU EM POSTA;azeite, vinagrete,tempero fondor;SIM;NÃO
BACALHAU GOMES DE SÁ;batata, ovo, azeitona,azeite, salsa;NÃO;NÃO
;;NÃO;NÃO
BACALHAU LUSITANO;batatas,cenoura,brocolis,alho,ovo,cebolinha,;NÃO;NÃO
BACALHAU NO COCO;bacalhau, creme de leite, azeite de dendê;NÃO;SIM
BACALHAU NOBRE;cenoura, m. branco,queijo,ovo,biscoito;SIM;SIM
BACALHAU ZÉ DO PIPO;verduras,batata, leite,margarina,cr.de leite;NÃO;SIM
BACALHOADA;queijo,batata,tomate, cebola, pimentão;NÃO;SIM
BANANA CARAMELADA;suco de laranja,açucar,;NÃO;NÃO
BANANA COZIDA;agua ,sal;NÃO;NÃO
BANANA MILANESA;ovo, farinha de trigo, farinha de rosca;SIM;SIM
BANDEJA DE FRIOS;queijos, kani, presunto;SIM;SIM
BANDEJAS DE FRUTAS;abacaxi,melão,manga,kiwi,melancia;NÃO;NÃO
BATATA DOCE ;água e sal;NÃO;NÃO
BATATA FRITA;batata inglesa;NÃO;NÃO
BATATA GRATINADA ;Molho branco, queijo, orégano;SIM;SIM
BATATA PARMESAN;queijo ralado, alho, cebola;NÃO;SIM
BATATA QUATRO QUEIJOS;provolone,parmesão,mussarela,prato,m branco;SIM;SIM
BATATA REC. C/ CALABRESA;calabresa,queijo ralado,requeijão,cebola;SIM;SIM
BATATA SUPREMA CALABRESA;calabresa, creme de leite,catupiry,queijo;NÃO;SIM
BATATA SUPREMA CAMARÃO;cr. De leite,queijo,catupiry;SIM;SIM
BATATA SUPREMA DE FRANGO;catupiry,cr.de leite,queijo,salsa,cebola,;SIM;SIM
BATATAS CORADAS ;açafrão ,oregano, farinha de trigo,margarina;SIM;SIM
BERINJELA A MILANESA;ovo,leite,farinha de rosca,óleo;SIM;SIM
BERINJELA C/ TOMATE SECO;berinjela,tomate seco,queijo,oregano,manjericão;NÃO;SIM
BERINJELA DELÍCIA;queijo, molho de tomate, orégano;NÃO;SIM
BERINJELA EMPANADA;ovo, farinha de rosca, trigo,oleo,leite;SIM;SIM
BERINJELA REC.C/ RICOTA;ricota,queijo,m. de tomate,sal;NÃO;SIM
BERINJELA RECHEADA;ricota, molho branco, molho de tomate, mussarela;SIM;SIM
BERINJELA REFOGADA;azeite,verduras,sal azeitona;NÃO;NÃO
BETERRABA COZIDA;açúcar;NÃO;NÃO
BETERRABA CRUA;beterraba;NÃO;NÃO
BIFE ACEBOLADO;carne bovina,sal, temperos, alho, oleo;NÃO;NÃO
BIFE AO MOLHO DE ERVAS;ervas, alho-poró, molho;SIM;SIM
BIFE AO MOLHO ROTI;vinho tinto, cenoura, cebola;SIM;NÃO
BIFE C/ LEGUMES;alcatra,abobrinha,cenoura,condimentos;SIM;NÃO
BIFE CHATEUABRIAND;queijo, presunto,m. branco;SIM;SIM
BIFE DE PANELA; legumes,alho,sal,pimenta,oleo,colorau;SIM;NÃO
BIFE M. DE ERVAS;condimentos,manjericão,ervas finas;SIM;NÃO
BIFE MOLHO BARBECUE;catchup,mostarda,m.inglês,açucar;NÃO;NÃO
BODE GUISADO;sal,alho,condimentos;NÃO;NÃO
BOLINHO ARROZ INTEGRAL;queijo, farinha de trigo, farinha de rosca;SIM;SIM
BOLINHO DE BACALHAU;ovo,farinha de rosca,salsa,batata inglesa;SIM;SIM
BOLINHO DE MACAXEIRA;queijo, calabresa, farinha de rosca;SIM;SIM
BOLINHO DE QUEIJO;ovo, farinha de trigo, farinha de rosca;SIM;SIM
BOLO  CARNE C/ PROVOLONE;carne , queijo provolone,ovo, farinha de rosca;SIM;SIM
BOLO  CARNE CREAM CHEESE;ovo, farinha de rosca, cream cheese,;SIM;SIM
BRÓCOLIS;azeite;NÃO;NÃO
BROCOLIS GRATINADO;molho branco, queijo parmesão;SIM;SIM
BRUSQUETA RECHEADA ;pão ,m.italiano.queijo,presunto,azeitona;SIM;SIM
CALABRESA ACEBOLADA;calabresa,cebola,margarina;SIM;SIM
CALDO VERDE ;batata inglesa,calabresa,couve folha,sal;NÃO;NÃO
CAMARÃO A PARMEGIANA;ovo, trigo, farinha de rosca, queijo;SIM;SIM
CAMARÃO AO M. DE QUEIJO;molho branco,queijo parmesão;SIM;SIM
CAMARÃO M. DA CASA;fondor,margarina,alho;SIM;SIM
CAMARÃO MOLHO DE QUEIJO;molho branco, queijo parmesão;SIM;SIM
CAMARÃO NA MORANGA ;abobora,cr,de leite.catupiry, margarina;NÃO;SIM
